Company_Name,Ticker,Listed_Date,Listing_Year,Exchange,Current_Price,Listing_Gain_Pct,Overall_Gain_Pct,Performance_Status
QMS Medical Allied Services Limited,QMSMEDI.NS,2026-06-18,2026,NSE Main Board,135.24,,,🟢 Trading Active
Quint Digital Limited,QUINT.NS,2026-04-20,2026,NSE Main Board,37.36,,,🟢 Trading Active
RDB Real Estate Constructions Limited,RRECL.NS,2026-08-17,2026,NSE Main Board,136.35,,,🟢 Trading Active
RIR Power Electronics Limited,RIR.NS,2026-07-16,2026,NSE Main Board,170.35,,,🟢 Trading Active
RMC Switchgears Limited,RMC.NS,2026-04-01,2026,NSE Main Board,253.85,,,🟢 Trading Active
RRIL Limited,RRIL.NS,2026-04-20,2026,NSE Main Board,17.94,,,🟢 Trading Active
RSD Finance Limited,RSDFIN.NS,2026-04-20,2026,NSE Main Board,101.17,,,🟢 Trading Active
RTS Power Corporation Limited,RTSPOWR.NS,2026-08-17,2026,NSE Main Board,96.72,,,🟢 Trading Active
Rajapalayam Mills Limited,RAJPALAYAM.NS,2026-04-20,2026,NSE Main Board,843.4,,,🟢 Trading Active
Rajputana Stainless Limited,RSL.NS,2026-03-19,2026,NSE Main Board,164.95,,,🟢 Trading Active
S V Global Mill Limited,SVGLOBAL.NS,2026-08-17,2026,NSE Main Board,133.0,,,🟢 Trading Active
SAB Industries Limited,SAB.NS,2026-08-17,2026,NSE Main Board,170.0,,,🟢 Trading Active
SBI Funds Management Limited,SBIFUNDS.NS,2026-07-21,2026,NSE Main Board,554.85,,,🟢 Trading Active
SEDEMAC Mechatronics Limited,SEDEMAC.NS,2026-03-11,2026,NSE Main Board,3244.7,,,🟢 Trading Active
